concelho;IndRural;pop.res;Perc.pop.Act;Perc.criancas;Perc.idosos;TxDesemp;Hospitais1000;CentrosSaude1000;Rendim;Escolaridade;PropMulheres;HabCentrosSaude;N.Cxs.MB;Ano
Caldas da Rainha;0,21;51525;0,651800097;0,136419214;0,211780689;0,064;0,038816109;0,019408054;886,3;7,71;0,528;25897,3;68;2016
Caminha;0,17;16176;0,642124135;0,115727003;0,242148863;0,07;0;0,06181998;871,3;7,3;0,541;16685,5;22;2016
Campo Maior;0,07;8247;0,638535225;0,151449012;0,210015763;0,093;0;0,121256214;1157,3;6,86;0,517;4224,5;9;2016
Cantanhede;0,59;35923;0,626395346;0,118169418;0,255435236;0,059;0,055674637;0,027837319;938,3;6,77;0,526;6102,3;51;2016
Carrazeda de Ansiaes;0,73;5929;0,560634171;0,102209479;0,33715635;0,093;0;0,168662506;777,3;5,49;0,527;6343;3;2016
Carregal do Sal;0,34;9589;0,619981228;0,126290541;0,25372823;0,075;0;0,104286161;836,3;6,23;0,527;4905,3;12;2016
Cartaxo;0,11;24137;0,642664788;0,138211045;0,219124166;0,056;0;0,041430169;916,3;7,53;0,523;24514;25;2016
Cascais;0;209869;0,643763491;0,163535348;0,192701161;0,072;0,028589263;0,009529754;1119,3;9,58;0,534;69062,2;270;2016
Castanheira de Pera;0;2833;0,576067773;0,090363572;0,333568655;0,121;0;0,352982704;921,3;5,72;0,538;3164;3;2016
Castelo Branco;0,25;53674;0,6317025;0,125386593;0,242910907;0,081;0,018630995;0,018630995;879,3;7,69;0,526;3106,1;70;2016
Castelo de Paiva;0,08;16050;0,687601246;0,143676012;0,168722741;0,107;0;0,062305296;758,3;6,48;0,514;8349,5;10;2016
Castelo de Vide;0,18;3150;0,603492063;0,094285714;0,302222222;0,075;0;0,317460317;810,3;6,49;0,523;1698,5;4;2016
Castro Daire;0,54;14595;0,605275779;0,120109627;0,274614594;0,094;0;0,068516615;772,3;5,56;0,521;5091,8;12;2016
Castro Marim;0,52;6472;0,609703337;0,112484549;0,277812114;0,081;0;0,154511743;818,3;6,5;0,508;6694,5;9;2016
Castro Verde;0,27;7184;0,643930958;0,125278396;0,230790646;0,06;0;0,139198218;1113,3;6,88;0,509;1215,3;13;2016
Celorico da Beira;0,63;7284;0,592943438;0,112026359;0,295030203;0,095;0;0,137287205;749,3;5,91;0,533;3833;11;2016
